cpu-bind=MASK - bp1-compute132, task 4294967295 4294967295 [0]: mask 0xdbb6ddb0dbb6ddb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 79.654321 secs
Exciton, frame 1536 ran in:  14.110515594482422
Exciton, frame 1537 ran in:  14.221199750900269
Exciton, frame 1538 ran in:  14.12378978729248
Exciton, frame 1539 ran in:  14.098519086837769
Exciton, frame 1540 ran in:  14.307395219802856
Exciton, frame 1541 ran in:  14.096781015396118
Exciton, frame 1542 ran in:  14.088306188583374
Exciton, frame 1543 ran in:  13.890207052230835
Exciton, frame 1544 ran in:  14.017618656158447
Exciton, frame 1545 ran in:  14.045219659805298
Exciton, frame 1546 ran in:  13.495524168014526
Exciton, frame 1547 ran in:  14.08687686920166
Exciton, frame 1548 ran in:  14.386513233184814
Exciton, frame 1549 ran in:  14.14171051979065
Exciton, frame 1550 ran in:  13.639888763427734
Exciton, frame 1551 ran in:  13.747133016586304
