cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0xff0fff00ff0fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.398987 secs
Exciton, frame 129524 ran in:  13.381190061569214
Exciton, frame 129525 ran in:  13.532464027404785
Exciton, frame 129526 ran in:  13.592957496643066
Exciton, frame 129527 ran in:  13.536008358001709
Exciton, frame 129528 ran in:  13.352708578109741
Exciton, frame 129529 ran in:  13.6599600315094
Exciton, frame 129530 ran in:  13.544795989990234
Exciton, frame 129531 ran in:  13.407217264175415
Exciton, frame 129532 ran in:  14.172685146331787
Exciton, frame 129533 ran in:  13.478004455566406
Exciton, frame 129534 ran in:  13.45844554901123
Exciton, frame 129535 ran in:  13.886940240859985
Exciton, frame 129536 ran in:  13.357882022857666
Exciton, frame 129537 ran in:  13.4328293800354
Exciton, frame 129538 ran in:  13.588589191436768
Exciton, frame 129539 ran in:  12.995814085006714
Exciton, frame 129540 ran in:  13.73679518699646
Exciton, frame 129541 ran in:  13.510212182998657
Exciton, frame 129542 ran in:  13.417570352554321
Exciton, frame 129543 ran in:  13.399147748947144
Exciton, frame 129544 ran in:  13.539309978485107
Exciton, frame 129545 ran in:  13.37253737449646
Exciton, frame 129546 ran in:  13.437752723693848
Exciton, frame 129547 ran in:  13.461815595626831
Exciton, frame 129548 ran in:  13.28401517868042
Exciton, frame 129549 ran in:  13.096846103668213
Exciton, frame 129550 ran in:  13.765269756317139
Exciton, frame 129551 ran in:  13.51308298110962
Exciton, frame 129552 ran in:  13.435399055480957
Exciton, frame 129553 ran in:  13.605083703994751
