cpu-bind=MASK - bp1-compute065, task 4294967295 4294967295 [0]: mask 0xffdfdcffdfdc set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.691583 secs
Exciton, frame 48428 ran in:  13.003609657287598
Exciton, frame 48429 ran in:  13.021989345550537
Exciton, frame 48430 ran in:  12.77029275894165
Exciton, frame 48431 ran in:  12.957456350326538
Exciton, frame 48432 ran in:  13.035370826721191
Exciton, frame 48433 ran in:  12.988558292388916
Exciton, frame 48434 ran in:  13.532404899597168
Exciton, frame 48435 ran in:  12.941102027893066
Exciton, frame 48436 ran in:  13.327613592147827
Exciton, frame 48437 ran in:  12.383870601654053
Exciton, frame 48438 ran in:  12.68716812133789
Exciton, frame 48439 ran in:  12.90526556968689
Exciton, frame 48440 ran in:  12.907696962356567
Exciton, frame 48441 ran in:  13.038171291351318
Exciton, frame 48442 ran in:  13.33949327468872
Exciton, frame 48443 ran in:  12.776438236236572
Exciton, frame 48444 ran in:  13.111776351928711
Exciton, frame 48445 ran in:  13.261483907699585
Exciton, frame 48446 ran in:  13.324512243270874
Exciton, frame 48447 ran in:  13.225273370742798
Exciton, frame 48448 ran in:  12.892534017562866
Exciton, frame 48449 ran in:  13.070805549621582
Exciton, frame 48450 ran in:  13.1615309715271
Exciton, frame 48451 ran in:  13.067579507827759
Exciton, frame 48452 ran in:  13.279472351074219
Exciton, frame 48453 ran in:  13.13029432296753
Exciton, frame 48454 ran in:  12.683166980743408
Exciton, frame 48455 ran in:  13.006786346435547
Exciton, frame 48456 ran in:  13.104804754257202
Exciton, frame 48457 ran in:  12.931814193725586
Exciton, frame 48458 ran in:  13.458581686019897
Exciton, frame 48459 ran in:  13.125048637390137
Exciton, frame 48460 ran in:  13.396599769592285
Exciton, frame 48461 ran in:  13.13110637664795
Exciton, frame 48462 ran in:  13.195198774337769
Exciton, frame 48463 ran in:  13.118903398513794
Exciton, frame 48464 ran in:  12.731130123138428
Exciton, frame 48465 ran in:  12.858894109725952
Exciton, frame 48466 ran in:  13.030627727508545
Exciton, frame 48467 ran in:  13.11217713356018
Exciton, frame 48468 ran in:  13.213124513626099
Exciton, frame 48469 ran in:  13.053535223007202
Exciton, frame 48470 ran in:  12.898878335952759
Exciton, frame 48471 ran in:  13.101900577545166
Exciton, frame 48472 ran in:  12.930084228515625
Exciton, frame 48473 ran in:  12.56646466255188
Exciton, frame 48474 ran in:  13.150651216506958
Exciton, frame 48475 ran in:  13.185683250427246
Exciton, frame 48476 ran in:  13.157570362091064
Exciton, frame 48477 ran in:  13.227806329727173
Exciton, frame 48478 ran in:  12.927223443984985
Exciton, frame 48479 ran in:  13.001284837722778
Exciton, frame 48480 ran in:  13.075160503387451
Exciton, frame 48481 ran in:  13.29363203048706
Exciton, frame 48482 ran in:  13.226177453994751
Exciton, frame 48483 ran in:  13.058205127716064
Exciton, frame 48484 ran in:  12.79916524887085
Exciton, frame 48485 ran in:  13.326520442962646
Exciton, frame 48486 ran in:  12.982123374938965
Exciton, frame 48487 ran in:  12.846635818481445
Exciton, frame 48488 ran in:  13.230785608291626
Exciton, frame 48489 ran in:  13.343084812164307
Exciton, frame 48490 ran in:  12.973745346069336
Exciton, frame 48491 ran in:  13.033979892730713
Exciton, frame 48492 ran in:  12.442847967147827
Exciton, frame 48493 ran in:  12.894657611846924
Exciton, frame 48494 ran in:  12.59969186782837
Exciton, frame 48495 ran in:  12.421917200088501
Exciton, frame 48496 ran in:  12.72408652305603
Exciton, frame 48497 ran in:  13.187316656112671
Exciton, frame 48498 ran in:  13.283045291900635
Exciton, frame 48499 ran in:  13.367496013641357
Exciton, frame 48500 ran in:  12.456311225891113
Exciton, frame 48501 ran in:  13.266801118850708
Exciton, frame 48502 ran in:  12.85708212852478
Exciton, frame 48503 ran in:  12.652608871459961
Exciton, frame 48504 ran in:  12.845309257507324
Exciton, frame 48505 ran in:  13.037423133850098
Exciton, frame 48506 ran in:  13.185430765151978
Exciton, frame 48507 ran in:  13.116247653961182
Exciton, frame 48508 ran in:  13.172550678253174
Exciton, frame 48509 ran in:  12.787520170211792
Exciton, frame 48510 ran in:  12.603432416915894
Exciton, frame 48511 ran in:  13.143310546875
Exciton, frame 48512 ran in:  12.75478744506836
Exciton, frame 48513 ran in:  13.1196928024292
Exciton, frame 48514 ran in:  12.4598069190979
